1,avere,alde,0.612844
2,alveo,alba,0.525958
3,ancora,ancla,0.539934
4,anteriore,anterior,0.32479802
5,arare,ara,0.435407
6,rame,alambre,0.31866598
7,ardere,ardor,0.36155704
8,aja,era,0.327855
9,rena,arenoso,0.25761598
10,arma,armadura,0.337464
11,cosí,así,0.253858
12,tale,atal,0.40824002
13,ital,crío,0.438104
14,balla,baba,0.46562397
15,bere,bebedor,0.25342003
16,buffo,buho,0.28470197
17,calco,pisar,0.29482502
18,campana,campaña,0.42330703
19,muz,cantabile,0.370352
20,capo,cabeza,0.311308
21,calare,acarrear,0.260142
23,carbone,carbon,0.28189698
24,cardinale,cardinal,0.272988
25,carne,carnestolendas,0.44501
26,carta,libro,0.271393
27,caudale,caudal,0.271101
28,cera,querer,0.47791803
29,cerro,cielo,0.26713002
30,chiedere,querer,0.32181302
31,citare,citado,0.339984
32,civiltà,civilidad,0.26798904
33,corno,cornudo,0.27826297
34,costa,cuesta,0.40545702
35,gomito,code,0.52986103
36,comite,cometer,0.365653
37,composta,compota,0.51089305
38,composito,compuesto,0.26671803
39,con,cono,0.49506703
40,concordare,concordato,0.291405
41,costanza,constancia,0.284731
42,continue,continuar,0.346132
43,corbo,cuervo,0.300659
44,incoronare,corona,0.30109498
45,crasi,craso,0.29093403
46,credenza,creer,0.30043602
47,correre,culo,0.464539
48,dipartimento,apartar,0.65854394
49,decima,diezmo,0.294153
50,diverso,diverso,0.28999498
51,donare,doña,0.461079
52,dolce,dolce,0.26369897
53,equatore,ecuador,0.30880702
54,esordio,exordio,0.59940696
55,faggeto,fag,0.405349
56,fero,hierro,0.299128
57,finire,finito,0.37608
58,fiaccola,llama,0.31323904
59,frassineto,fresno,0.28578702
60,fra,hermano,0.399041
61,fregare,fregar,0.25266197
62,affondare,ahondar,0.47532296
63,gemino,gemelo,0.31364202
64,ginocchio,hinojo,0.58006203
65,gesta,gesto,0.414893
66,ghianda,lande,0.40042603
67,grue,grúa,0.280655
68,immaginare,imaginario,0.34899402
69,importazione,importar,0.33405095
70,indicare,índice,0.49738303
71,cominciare,inicial,0.31789997
72,inter,entre,0.46760303
73,interiore,interior,0.367886
74,ballare,jugar,0.366997
75,giudicare,juez,0.282999
76,giro,jurar,0.33524603
77,giustiziare,justicia,0.34847403
78,la,allá,0.329004
80,lama,llama,0.317305
81,luogo,luego,0.363848
83,lucciola,lucir,0.325652
84,lungo,luengo,0.47031
85,maggio,das,0.688976
86,mamma,mama,0.279555
87,mantello,mantilla,0.285882
88,marina,marino,0.294385
89,marmellata,mer,0.597597
90,materia,madera,0.55648804
91,médico,médico,0.262016
92,mele,mel,0.33446896
95,menge,mienta,0.47817
96,mirare,admirarse,0.359221
97,molle,muelle,0.28803098
98,mola,morir,0.31752598
99,morio,muerto,0.370772
101,moda,módulo,0.681704
102,moglie,mojar,0.73784703
103,moro,muri,0.25126702
104,mutare,mudo,0.49874902
105,napo,nabo,0.279145
106,nona,nono,0.47851902
107,nota,noto,0.26021802
108,ome,hombre,0.251125
110,oste,hueste,0.269018
111,operare,operado,0.28691998
112,ottimo,óptimo,0.30829
113,ora,hora,0.297179
114,oratorio,oratoria,0.313733
115,palato,palacio,0.425462
116,palinsesto,palimpsesto,0.27400002
117,penna,peña,0.280941
118,compasso,pasar,0.324725
119,impadronirsi,patrón,0.67258406
120,per,ad,0.491582
122,parecchio,parejo,0.38642302
123,pesca,prisco,0.748498
124,pietoso,piedad,0.26166198
125,punto,punta,0.28739697
126,popolano,pueblo,0.39142102
127,posteriore,posterior,0.301705
128,prezzo,prez,0.713997
129,primato,primate,0.44091302
130,principe,principio,0.530994
131,prendere,prender,0.34000397
132,prospetto,prospecto,0.410393
133,pubblicare,público,0.610832
134,pollo,poner,0.440825
135,raggio,radio,0.29419997
136,robbio,rubio,0.332946
137,rompere,arroba,0.65415
138,scena,sainete,0.329788
139,sede,seer,0.646413
140,segno,enseñar,0.33830598
141,servo,servir,0.41014197
142,simulacro,simulacro,0.26459798
143,singolo,sendos,0.59042
144,sinistro,siniestro,0.43000102
145,stratagemma,estratega,0.29501003
146,sotto,so,0.539316
147,it,tata,0.370586
148,testa,testa,0.32406598
149,tenia,tenia,0.274574
150,terricolo,terrícolas,0.276892
151,tonno,tono,0.459319
152,tribuno,tribuna,0.497355
153,tornare,verter,0.57238305
154,omero,hombro,0.29769203
155,vado,vado,0.305096
156,versare,derrame,0.38494697
157,venia,venir,0.260049
158,verso,verso,0.540888
159,via,vivir,0.333695
160,vigile,vigilia,0.306589
161,vendicare,reponerse,0.394356
162,volano,volante,0.29021397
163,voluta,voluta,0.256387
164,di,decir,0.38724697