alveo,984,1,0.7358785484196185
ancora,288963,6,0.8659245334877679
anteriore,14430,2,0.6444981640442619
arare,4390,0,0.5991995397127181
rame,5245,1,0.6931017521775771
ardere,2236,2,0.6608186736356294
aja,1308,0,0.5789396607949688
rena,589,1,0.4731615213067292
arma,69155,4,0.7787044339881131
tale,216636,2,0.829480512029649
ital,1523,0,0.45623065621360054
balla,300,2,0.45030940833741917
bere,7912,7,0.7527379070902767
calco,807,3,0.4843472177455739
campana,4684,4,0.7226144050403265
muz,26,0,0.375325537700203
capo,95815,11,0.7954480157653878
carbone,9833,4,0.769019980844755
cardinale,24785,2,0.7818989670635564
carne,12757,4,0.7598278788049672
carta,37005,7,0.6551217774983745
caudale,977,1,0.30994458839853
cera,2076,1,0.5500496399518581
cerro,1235,1,0.5935788043058391
citare,35009,4,0.774109490983234
corno,6483,5,0.653004872388162
costa,10504,6,0.815729847764144
gomito,1263,1,0.6790447654266077
composta,203,1,0.7142950070474109
composito,951,1,0.5203449776462414
con,40425,0,0.5359577986174137
concordare,5457,4,0.8137951949614511
costanza,4561,5,0.6900258752109113
continue,963,0,0.6449953600574748
corbo,124,0,0.4412551280014555
crasi,115,1,0.33503782348050754
credenza,3592,6,0.7508267507864292
correre,89344,5,0.801236632819935
dipartimento,15961,2,0.5940954349047022
decima,2044,0,0.5816725958820957
diverso,191287,8,0.8273003041518681
dolce,16328,4,0.7673876072120508
equatore,3138,2,0.6759316825361434
esordio,13659,1,0.6027081060928537
fero,1411,0,0.4633806686986828
finire,55832,9,0.8588681146081121
fiaccola,825,1,0.5298304422033443
frassineto,152,0,0.6544969013638905
fra,246579,0,0.759225212757455
fregare,3442,1,0.6267116091682562
gemino,686,0,0.4882677785459937
ginocchio,4023,1,0.8045632242720561
gesta,1796,1,0.6578467226562417
ghianda,158,1,0.572732302758023
grue,82,0,0.36788330851444057
importazione,5171,2,0.8149504863649584
indicare,61886,7,0.675056051698185
cominciare,60529,5,0.8164098070918827
inter,16884,0,0.5186628668895721
interiore,3237,1,0.6384848971871104
ballare,7204,4,0.6510257928721849
giudicare,18034,3,0.8510374144134698
giro,49991,9,0.6780409917670024
giustiziare,6719,1,0.7619674772675435
la,45315,1,0.7263164680240352
luogo,123558,5,0.7267484881747258
lucciola,257,2,0.6906881494032686
lungo,172198,5,0.8249771833851671
maggio,79363,1,0.7542317024510089
mamma,11102,2,0.7681187167982093
marina,13085,4,0.7506070451619473
materia,25075,6,0.7198577809982533
mirare,11793,0,0.7533573490709591
molle,1253,2,0.5107153958288735
mola,3411,4,0.5664022048455221
morio,1706,0,0.4780990936931389
moda,8793,4,0.7305586767376496
moglie,46326,1,0.8845481583020895
moro,9572,4,0.5337585680971294
mutare,6714,6,0.7287730916010767
napo,590,0,0.3583029926845817
nona,169,0,0.39791546078994394
ome,717,0,0.5002430801909892
ora,297732,9,0.7679072906898947
oste,746,1,0.6072681915330159
operare,33282,3,0.834685487475305
ottimo,31659,1,0.8007807788515501
oratorio,5597,1,0.6628007532000759
palato,580,2,0.609897811355518
penna,4450,3,0.7244463769757903
per,43271,0,0.7292194902896129
parecchio,15677,2,0.7068778861779955
pesca,4437,2,0.7883454091943749
pietoso,2472,1,0.6686599351055575
punto,193428,10,0.7422104539145079
popolano,1179,0,0.7200973905236694
posteriore,17952,3,0.6751839824837507
primato,5435,2,0.7389275515051837
principe,39892,1,0.8094255161763756
prendere,214452,23,0.735693507006944
prospetto,2545,2,0.593495955775299
pubblicare,123412,1,0.7236446043482687
pollo,2625,4,0.7072430469011226
raggio,18230,4,0.6897158745974343
robbio,58,1,0.5276455305278829
rompere,9511,6,0.7898186733392167
scena,45208,7,0.7773238888916875
sede,68932,5,0.7834130344301566
segno,40169,10,0.7364684176235717
servo,3168,1,0.7385484328382955
simulacro,1037,0,0.5501187406745791
singolo,63663,5,0.5291945951360668
sinistro,18184,2,0.7314725760096643
stratagemma,1054,3,0.7075907497823303
sotto,182550,4,0.7082091715224831
testa,52761,9,0.7341465473916865
tenia,1052,1,0.34034277139784985
tribuno,1883,0,0.6043767306127436
tornare,94960,3,0.8513647394471
omero,1694,2,0.6386292545228246
vado,3574,0,0.7731737794280134
versare,9403,5,0.762809272450371
verso,182234,6,0.8037521655211792
via,194331,7,0.7873049786469392
vigile,7919,1,0.7424305413294666
vendicare,5804,1,0.8537856321287288
voluta,586,1,0.4231838885483452
di,91943,0,0.7480631628113684