alba,3570,1,0.5091307340369989
ancla,1139,0,0.6889800068661082
anterior,74350,4,0.6898735967774224
ara,1976,2,0.4777746538276572
alambre,1502,0,0.7281928221340346
ardor,3150,0,0.6632351909103338
era,320,5,0.4205892569630455
arenoso,1632,3,0.7241374676311615
armadura,3280,4,0.6589139991574239
baba,326,1,0.5337501548828223
bebedor,536,1,0.6899813079120597
buho,1079,0,0.6015032229368017
pisar,4027,4,0.6673879594913477
cabeza,71466,11,0.7688746907740782
acarrear,1569,6,0.7198942479287468
carbon,6091,0,0.6116410713963827
cardinal,1201,0,0.5176943534108903
libro,84790,6,0.7698467051752965
caudal,7674,2,0.6078863914288458
querer,184863,6,0.8801527188881728
cielo,42142,5,0.8400264362042762
citado,12106,0,0.683580145713391
civilidad,96,0,0.631128706952905
cornudo,256,0,0.5044784066430643
cuesta,1672,4,0.710038647796117
cometer,11235,3,0.744944475417101
compota,111,0,0.7645103297233511
compuesto,36063,3,0.7010635373033336
concordato,550,1,0.6127082449329314
constancia,5940,10,0.6410928520408423
continuar,73237,7,0.6545985316015263
cuervo,2582,0,0.6692063973576109
corona,20518,6,0.6708401236180354
craso,745,0,0.18371465321451005
creer,123736,6,0.8545114951448896
apartar,9161,7,0.7546897898697027
diezmo,653,2,0.6410591011397632
diverso,70882,4,0.773405689207377
dolce,308,1,0.38830123753092866
ecuador,11235,0,0.46446803187874264
exordio,239,0,0.5978630513884087
hierro,18556,1,0.5831279157597186
finito,2086,2,0.35367851442090575
llama,8981,2,0.6295336697685993
hermano,74131,6,0.8130740169849725
fregar,241,3,0.7459957469917415
ahondar,541,1,0.6249644189301513
gemelo,3745,2,0.5414763581276748
hinojo,704,0,0.5402740006377379
gesto,9983,6,0.7511149024742163
imaginario,3413,1,0.5986948971129711
importar,18268,2,0.781755903891864
inicial,17875,5,0.42657677021490986
entre,9427,0,0.5679275601113349
interior,53040,17,0.7795952948630662
jugar,61602,8,0.5293569015105496
juez,27749,3,0.7498088497165861
jurar,6281,4,0.7091362542492844
justicia,38031,4,0.8000201547769178
luego,154099,0,0.6684216269510072
lucir,13707,5,0.7033318328158304
luengo,482,0,0.600214023788272
das,631,0,0.32005479368332596
mama,11432,3,0.6647332195295703
mantilla,934,0,0.7461807268374989
marino,20476,3,0.581693971753895
mer,1834,0,0.5683098525960224
madera,22593,3,0.8109712286502373
mel,708,0,0.3913475088225158
mienta,165,0,0.6487288955465448
muelle,3374,2,0.7431626652257309
muerto,51675,9,0.8324639883958765
mudo,7772,4,0.5744134571592396
nabo,258,0,0.5999290181312406
nono,367,0,0.3851718932504864
noto,2729,0,0.5939770349443249
hombre,235029,6,0.8213396501214418
hora,98027,6,0.8245449532360376
hueste,460,1,0.6694590660731691
operado,2843,0,0.3688120807351443
oratoria,601,0,0.6878350984566441
palacio,41770,3,0.8409150226195051
pasar,196755,29,0.7172856616462903
ad,4047,0,0.4805566242606302
parejo,5210,0,0.4515905147472949
prisco,222,0,0.3796461298574099
piedad,7881,3,0.7747500691297392
punta,11839,11,0.731832689613118
pueblo,148112,13,0.8563637828637922
prez,634,0,0.5175973732445246
prender,4557,9,0.8208467093224144
prospecto,378,1,0.466745340485917
poner,143542,18,0.8020498444305395
radio,30442,9,0.32364069112494676
rubio,7871,3,0.7396452226283656
arroba,514,2,0.5950666666601095
sainete,340,0,0.651644072241074
servir,67959,14,0.8209188407430856
simulacro,566,2,0.6405262639507454
sendos,3515,0,0.5613065008420033
siniestro,4788,3,0.7138163121383416
so,5064,0,0.5263099476765427
tata,702,1,0.4655395447424896
testa,503,0,0.5904603463588717
tenia,2886,0,0.5326027130395584
tono,19949,12,0.7204856193809138
tribuna,3644,1,0.6545591996983537
verter,3072,1,0.7576206006739431
hombro,13463,2,0.7324169792660794
vado,1075,0,0.5828100240767496
derrame,920,0,0.5564241525949353
venir,128651,5,0.83408724632672
verso,13667,4,0.7720110063920633
vivir,98534,6,0.8287646379878884
vigilia,1235,2,0.6648308806000637
volante,2894,4,0.5223832009727516
voluta,284,0,0.624667816270439